1965,Adol told Jeba of Sara's passing.,亚特鲁将莎拉的死讯告诉给了洁瓦。
1966,...,…………
1967,I see.,……是这样啊。
1968,"I had a terrible premonition that\nsomething like this might happen.",怪不得……我有种不祥的预感。
1973,"Sara, too...seemed to know the fate\nthat stood before her. I suppose it\nwas her job to know, after all.","莎拉自己应该……\n也感知到了自己的命运吧……"
1974,...,…………
1975,"Does that bother you? If it sets\nyour mind at ease, do know that she\nhad completely accepted her destiny.","你很在意莎拉的事是吗？\n那姑娘十分清楚自己的命运。"
1976,"We shall both grieve, certainly.\nBut if you wish to honor her memory,\nthen...carry out her final wish.","你真那么伤心的话，\n那就去帮她完成未竟之事吧。"
1978, What will you do?,要做什么呢？
1979,Speak to Jeba,与洁瓦交谈
1980,Speak to Feena,与菲娜交谈
1981,Ask Jeba to read,请她解读
1982,Leave,中止对话
1984,"Why would I be imprisoned in such a\nplace...?","……为什么我会被\n关在那个地方……"
1985,"Try as I might, I simply cannot\nremember!",我依然……还是不知道。
1986,"My memories are of the prison, and my\nown name. Nothing else.","我只有在牢房里的一点点记忆，\n以及自己的名字而已……"
1987,"And whenever I attempt to focus and\nremember anything else, all that\ncomes to me is a headache...","每当我试图回忆以前的事时，\n就会头疼欲裂……"
1989,"Jeba is letting me stay with her\nfor as long as I need.","经过一阵商量，\n决定让菲娜暂时留在洁瓦夫人家。"
1990,"I...would like it if you'd come by\nto visit me from time to time, as\nwell. If you aren't busy, of course!","那个……当你有空的时候\n能来看看我，我会很高兴的……"
1994,"Ah, it's you. If you're looking for\nFeena, she went out for a walk\naround the village.","哎呀，是你啊。\n要找菲娜的话，\n她现在应该在村子里散步吧。"
1995,What's wrong? You don't look well.,"……怎么了？\n你的脸色有点差哦。"
1996,Adol told Jeba of Sara's passing.,亚特鲁将莎拉的死讯告诉给了洁瓦。
1997,...,…………
1998,I see.,……是这样啊。
1999,"I had a terrible premonition that\nsomething like this might happen.",怪不得……我有种不祥的预感。
2001,"Sara, too...seemed to know the fate\nthat stood before her. I suppose it\nwas her job to know, after all.","莎拉自己应该……\n也感知到了自己的命运吧……"
2002,...,…………
