1508,"Mister, are you a swordsman?","大哥哥，你是一名剑士吗？","おにーちゃん、ひょっとして剣士さん？",
1510,"Well, the fortuneteller\nlady has been looking for\na traveling swordsman!","听说占卜师姐姐\n正在寻找旅行的剑士哦！","あのね、占い師のお姉ちゃんが\n旅の剣士さんを探してるんだって！",
1511,"Please go and see her!","记得要去找她哦！","行ってみてあげてよ！",
1512,"The fortuneteller's house\nis in the southwest corner\nof town. You should go talk\nto her right away!","占卜师姐姐的店\n在市区的西南角落。\n你一定要去找她哦！","占いのお店は\n町の南西の隅っこにあるよ。\nね、行ってみてあげてよ！",
1513,"Hee-hee, isn't our town's\nfortuneteller super duper\nbeautiful?","嘻嘻，占卜师姐姐、\n长得很漂亮对吧。","ふふ、占いのお姉ちゃん、\n美人だったでしょ。",
1514,"I went to visit Miss Sara,\nbut she wasn't there.","我去莎拉姐姐\n那里玩，可是那里，\n一个人也没有...。","サラお姉ちゃんのとこに\n遊びに行ったんだけど\nだれもいないの……。",
1515,"Where did she go...?","莎拉姐姐\n到底是去哪里了呢...？","サラお姉ちゃん\nどこ行っちゃったのかな……？",
1519,"Not long ago, I saw a stranger\nin town wearing a black cape\nwith a real peculiar pale blue\nglow to it...","最近经常看到披着黑色斗蓬\n外地来的人。\n那个斗蓬很古怪，\n表面隐隐发出青色的雾光。","最近、黒いマントをまとった\nよそ者をよく見かけるんだ。\nそのマントときたら、表面が\n青くぼうっと光ってやがる。",
1521,"Maybe I was just seeing\nthings, I don't know...\nbut it still gave me the\nshivers, either way!","或许是我眼睛花了，总之\n那个人给人毛骨悚然的感觉...","目の錯覚かもしれないが、\n何とも不気味なヤツだったぜ……。",
1522,"Maybe that caped man was\nthe thief people have been\ntalking about...","说不定那披着黑斗蓬的男子\n是传闻中的盗贼呀。","もしかしたら、あの黒マントの男が\n噂の盗賊なのかもしれないな。",
1523,"I haven't seen that man in\nthe black cape lately. I'll\nbet you anything he's the\none who killed Sara!","前不久还时常在街上出没的\n黑斗蓬的男人，又消失不见了。\n差不多就从莎拉被杀的那个时候开始。","最近まで、町をうろついていた\n黒マントの男が姿を見せなくなった。\nちょうどサラが殺されたあたりからだ。",
1524,"Bad tidings... Things\nare happening, and I\ndon't like where they're\nheaded...","可恶！\n怪不得我会有不祥的预感...","ちくしょうッ！\n嫌な予感はしていたんだが……。",
1527,"Sara has been acting\nrather odd lately.","最近占卜师姐姐的样子\n怪怪的耶。","近頃、占い師のお姉さんの様子が\nおかしいんだよね。",
