1200,"You should take good care of that\nblade, Adol. It will prove to be a\ngreat asset to you, I suspect.","你一定要妥善保管这把剑。\n关键时刻你一定会需要它的力量。","",
1201,"<!empty>","","",
1202,"Which sword\nwould you like?","你想要哪一把剑啊？","",
1203,"Short Sword","短 剑","",
1204,"Long Sword","长 剑","",
1205,"Talwar","塔瓦弯刀","",
1206,"Cancel","什么都不买","",
1207,"The short sword is small, but\nit's light and easy to handle.\nAn excellent choice for daily use.","短剑的体积不大，\n不过呢，却是轻巧好用。\n在日常生活中也用得到它。","",
1208,"<!empty>","","",
1209,"How does#02 500\nGold#00 sound?","#02500>4Gold#00>4怎么样？","",
1210,"Buy","买","",
1211,"Cancel","不买","",
1212,"<!empty>","","",
1213,"<!empty>","","",
1214,"You already have that exact item.\n...Why would you want another?","什么，你已经有了不是吗。\n同样的不需要两三把吧？","",
1215,"<!empty>","","",
1216,"Ah, thank you!","好，谢谢惠顾！","",
1217,"Sorry, but you don't have enough\nmoney for this. Feel free to come\nback when you do, however!","你的钱不够呀。\n我帮你保留，下次再来吧。","",
1218,"The long sword is well-suited to\ncombat, befitting a true swordsman.\nIts workmanship is top-class.","长 剑，\n这是适合剑士的实战用长剑。\n优点是钢铁打造，重量足。","",
1219,"<!empty>","","",
1220,"How does#02 2000\nGold#00 sound?","#022000>4Gold#00>4你看怎么样？","",
1221,"Buy","买","",
1222,"Cancel","不买","",
1223,"<!empty>","","",
1224,"<!empty>","","",
1225,"<!empty>","","",
1226,"Regrettably, the Talwar is from\nthe far east, and the Stormwall's\nmade restocking most difficult.","不好意思，塔瓦弯刀是东方国家的剑，\n岚之结界害得商船无法开进来，\n现在很难弄到手了。","",
1227,"<!empty>","","",
1228,"My shipment washed ashore, I hear,\nbut it's still being catalogued, so\nthere may be delays. My apologies!","拿到货以后我会帮你保留，你暂时忍耐一下吧。","",
1229,"The Talwar is a curved sword from\nthe far east. It handles uniquely,\nbut is a truly superior blade.","塔瓦弯刀是东方传来的弯刀。\n跟普通的剑不同，不好使，但是，\n保证绝对锋利。","",
1230,"<!empty>","","",
1231,"How does#02 5000\nGold#00 sound?","#025000>4Gold#00>4怎么样？","",
1232,"Buy","买","",
1233,"Cancel","不买","",
1234,"<!empty>","","",
1235,"<!empty>","","",
1236,"Come again!","欢迎再度光临啊！","",
1237,"<!empty>","","",
1238,"Ah, welcome.","嗨，欢迎光临。","",
1239,"<!empty>","","",
1240," What will you do?","要做什么？","",
1241,"Speak to shopkeeper","与店老板讲话","",
1242,"Buy armor","买铠甲","",
1243,"Buy shield","买盾牌","",
1244,"Leave","离开商店","",
1245,"<!empty>","","",
1246,"<!empty>","","",
1247,"Offense is a great luxury, but\ndefense is an absolute necessity. As\nsuch, proper armor is vital.","以防具为优先，武器排在第二，\n这样可提高存活下来的概率哦。","",
