683,"Just be sure you come back alive...\nor I'll kill you!","你一定...一定要回来哦！","必ず……戻ってくるんだぞ！",
686,"Such stunning red hair...\nYou must be Adol, no? Doctor\nBludo told me all about you.","那个红头发...\n我知道了！你就是亚特鲁君对吧？\n我听布鲁多医生说了。","その赤毛……\nそうか、君がアドル君だね？\nブルドー先生から話は聞いてるよ。",
688,"As you can see, we're on a bit of a\nbreak right now. The Stormwall's not\nconducive to tourism, after all!","如你所见，现在暂时停止营业。\n因为岚之结界的关系，\n船只都不来了...","見ての通り、開店休業中さ。\nなにせ嵐の結界のせいで\n船が来なくなったからね……。",
691,"I can get you something to\ndrink anyway, though, if\nyou'd like. What say you?","要不要喝一杯再走？","なにか飲んでいくかい？",
692,"It's nice and quiet here with no\ncustomers, but it does start to\ntake its toll after a time.","没有客人是很轻松啦，\n问题就是清闲过头了...","客がいなくて楽なんだけど、\n暇すぎるってのもねえ……。",
693,"How was Minea? If not for the\nmonsters, we could go spread our\nwings and explore a little, easily.","米内亚的情况怎么样？\n没有魔物的话，\n我早就想要去那里玩了。","ミネアの町はどうだった？\n魔物さえいなかったら、\n俺も遊びに行きたいんだけどな。",
694,"I'm so very bored... If you should\nfind anything of interest, please,\nbe sure to tell me all about it!","啊...好闲啊。\n有什么趣闻的话，\n一定要告诉我哦。","ああ……ヒマだなぁ。\n何か面白いことがあったら、\n聞かせてくれよ。",
695,"Have you been to Orman's\nBar in Minea? I hear it's\ndoing just as well as ever!","你去过米内亚城内的\n欧曼酒馆了吗？\n听说那里还是老样子生意兴隆啊...。","ミネアの町にある\nオーマンの酒場は行ってみたかい？\n相変わらず繁盛してるって聞いてるけど……。",
696,"I envy the lucky inlander! Before\nthe Stormwall, we were doing just\nas well, thanks to all the traders.","我真是羡慕欧曼唷。\n我们在岚之结界发生以前\n生意好的程度可是不下于他们呢...","オーマンがうらやましいよ。\nうちも、嵐の結界が起きる前は\nあそこに劣らず繁盛してたんだが……。",
699,"You're the one that Slaff\nrescued, aren't you? Fine\nred hair like yours is\ncertainly a rarity here.","被史拉夫救起的人\n就是你吗？\n你这头醒目的红头发\n确实不常见。","スラフが助けたってのは、\nあんたのことかい？\n確かに、滅多に見られないような\n見事な赤毛だなぁ。",
700,"So you're Adol... Well,\nit's good to finally meet\nyou.","亚特鲁吗...\n好吧，请多多指教。","アドルというのか……\nまあ、よろしく頼むぜ。",
701,"Hmm? What's wrong? Did\nyou need something?","嗯？怎么啦？\n找我有什么事吗？","ん？ ……どうした？\nオレに、何か用かい？",
702,"One of our jobs is to\nescort people between\nplaces like Minea and\nZepik Village.","自卫队的工作之一\n是护送本地人到\n米内亚或塞皮克村...","自警団の仕事のひとつに\n町の人間を、ミネアやゼピック村まで\n護送するってのがあるんだが……",
