0,"Slaff","斯拉夫","",
1,"Jacob","杰柯布","",
2,"Drake","多雷克","",
3,"Arcia","爱西亚","",
4,"Marco","马可","",
5,"Danny","达尼","",
6,"Karin","卡琳","",
7,"Lucca","路卡","",
8,"Orman","欧曼","",
9,"Donis","多尼斯","",
10,"Cezar","施杰鲁","",
11,"Chest","契斯特","",
12,"Lydia","莉迪亚","",
13,"Linda","琳达","",
14,"Clive","克莱弗","",
15,"Palma","帕尔玛","",
16,"Goban","古邦","",
17,"Uhnos","吾诺丝","",
18,"Gryel","葛莉尔","",
19,"Menon","美浓","",
20,"Karon","卡隆","",
21,"Cheryl","雪莉露","",
22,"Sylvia","希维娅","",
23,"Gerald","杰拉多","",
24,"Julius","朱里斯","",
25,"Aurora","欧萝拉","",
26,"Johann","约翰","",
27,"Charme","夏露姆","",
28,"Pamela","帕美拉","",
29,"Freddy","弗雷迪","",
30,"Martha","玛莎","",
31,"Elbert","艾巴特","",
32,"Oakrot","奥括德","",
33,"Unugun","恶奴刚","",
34,"Bulner","布尔娜","",
35,"Looter","鲁塔","",
36,"Dinvel","丁贝尔","",
37,"Dynick","迪尼克","",
38,"Genoid","基挪德","",
39,"Xomack","左马克","",
40,"Vilvan","威尔班","",
41,"Twarth","图瓦斯","",
42,"Talwar","塔瓦刀","",
43,"Reflex","反射甲","",
44,"Hammer","铁锤","",
45,"Mirror","魔法镜","",
46,"  HARD"," 困难","",
47,"  EASY"," 简单","",
48,"Plains","原野","",
49,"Shrine","神殿","",
50,"Golden","黄金","",
51,"Custom","自定义","",
52,"NORMAL","普通","",
53,"Cancel","取消","",
54,"OPTION","选项","",
55,"Tuesday"," ","",
56,"January"," ","",
57,"October"," ","",
58,"Stephan","史蒂芬","",
59,"Rebecca","蕾蓓卡","",
60,"Cornell","柯涅尔","",
61,"Garreck","盖雷克","",
62,"Ricardo","里卡鲁多","",
63,"Tabitha","塔碧莎","",
64,"Rosetty","洛赛提","",
65,"Pikkard","比卡多","",
66,"Curloid","卡洛伊德","",
67,"Rheboll","利伯鲁","",
68,"Rescoyd","莱斯柯德","",
69,"Nubbrow","纳布罗","",
70,"Lemendy","里门狄","",
71,"Brayzal","布雷泽鲁","",
72,"Jestona","杰斯特娜","",
73,"Normous","诺玛斯","",
74,"Irebolg","埃尔伯格","",
75,"Molfess","默尔费斯","",
76,"Selnarg","塞鲁纳格","",
77,"Monocle","眼镜","",
78,"Display","显示","",
79,"Artwork","插画","",
80,"Compact"," ","",
81,"Torrance","特朗斯","",
82,"Archelle","阿谢鲁","",
83,"Haystack","海斯塔克","",
84,"Theodore","赛欧多亚","",
85,"Othcross","奥斯括斯","",
86,"Accumate","伢九梅特","",
87,"Kelmarel","凯尔莫尔","",
88,"Chryolos","库利欧斯","",
89,"Euchreas","尤库里斯","",
90,"Bordisch","博帝修","",
91,"Jenocres","杰诺库斯","",
92,"Pictimos","皮特莫丝","",
93,"Darm Key","达姆之钥","",
94,"Necklace","项链","",
95,"  NORMAL","  普通","",
96,"Ramparts","城墙","",
97,"Movement","移动","",
98,"Complete","完全版","",
99,"Bilinear","双线性","",
100,"Standard","标准","",
101,"BGM Type","BGM类型","",
102,"Menu Bar","菜单栏","",
103,"NEW GAME","新游戏","",
104,"Level up!","升级！","",
105,"Charlotte","夏萝特","",
106,"Chelasken","克莱斯凯","",
107,"Riffligan","里夫利刚","",
108,"Wilewarer","崴尔瓦拉","",
109,"Nygtilger","泥古缇鲁嘎","",
110,"Vagullion","八九隆","",
111,"Dark Fact","达克法克特","",
112,"Heal Ring","治疗戒指","",
113,"Evil Ring","邪恶戒指","",
114,"Ivory Key","象牙之钥","",
115,"Shrine B1","神殿下1层","",
116,"Shrine B2","神殿下2层","",
117,"Shrine B3","神殿下3层","",
118,"Lakeshore","湖畔","",
119,"Quit Game","退出游戏","",
120,"Filtering","过滤","",
121,"Trilinear","三线性","",
122,"NIGHTMARE","梦魇","",
123,"Nurse Ayla","护士艾拉","",
124,"Miner Doug","旷工达古","",
125,"Nurse Lisa","护士莉莎","",
126,"Khonsclard","空斯库拉德","",
127,"Long Sword","长剑","",
128,"Chain Mail","锁链甲","",
129,"Plate Mail","金属板甲","",
130,"Power Ring","力之戒指","",
131,"Timer Ring","时光戒指","",
132,"Prison Key","牢房之钥","",
133,"Shrine Key","神殿之钥","",
134,"Marble Key","大理石之钥","",
135,"Pim's Pawn","皮姆交换所","",
136,"Militia HQ","自卫队总部","",
137,"Sky Bridge","天桥","",
138,"Frame Type","帧类型","",
139,"Chronicles","编年史","",
140,"No Display","不显示","",
141,"Directions","方向","",
142,"360 Degree","360度","",
143,"Bump Master"," ","",
144,"Boss Bangoa","邦可亚老板","",
145,"Granny Edda","爱妲奶奶","",
146,"Granny Soya","索雅奶奶","",
147,"Short Sword","短剑","",
148,"Flame Sword","火之剑","",
149,"Shield Ring","防护戒指","",
150,"Volume Mesa","梅萨之章","",
151,"Volume Fact","法克特之章","",
152,"Silver Bell","银之铃","",
153,"Blue Amulet","蓝色护身符","",
154,"Golden Vase","金之台座","",
155,"Heal Potion","伤药","",
156,"  NIGHTMARE","  梦魇","",
157,"Minea Byway","米内亚小道","",
158,"Mine Depths","矿山深处","",
159,"EXP Display","经验显示","",
160,"TIME ATTACK","竞速模式","",
161,"Into the Sky"," ","",
162,"Doctor Bludo","布鲁多医生","",
163,"Granny Daria","妲莉亚奶奶","",
164,"Doctor Klaus","克拉杰医师","",
165,"Old Man Mash","老人马休","",
166,"Mayor Marcel","镇长马鲁塞尔","",
167,"Mayor Robels","村长罗贝鲁斯","",
168,"Granny Lucia","露西娅奶奶","",
169,"Granny Tohbe","托蓓奶奶","",
170,"Silver Sword","银之剑","",
171,"Small Shield","小盾","",
172,"Large Shield","大盾","",
173,"Silver Armor","银之铠甲","",
174,"Battle Armor","战甲","",
175,"Volume Hadal","哈达尔之章","",
176,"Volume Tovah","托瓦之章","",
177,"Volume Gemma","洁玛之章","",
178,"Mask of Eyes","面具","",
179,"Dios' Armory","迪欧斯防具店","",
180,"Buck's House","巴克","",
181,"Barbado Port","巴尔巴多港","",
182,"Gerald's Pub","杰拉多","",
183,"Warehouse 2F","仓库2层","",
184,"Jeba's House","洁瓦的家","",
185,"Luta's House","卢达的家","",
186,"Edda's House","爱妲的家","",
187,"Thieves' Den","盗贼碉堡","",
188,"Mining Pit 1","1号矿坑","",
189,"Mining Pit 2","2号矿坑","",
190,"Adol Visible","主角可见","",
191,"Old Man Franz","老人弗朗兹","",
